Bintang,txt,label
5,"Barang sudah sampai dalam keadaan baik, tidak ada cacat dan akan dirangkai. moga berfungsi dengan baik. trims agan toko, shopee dan kurir SPX",Positive
5,"Cakep dah bakal pesen disini lagi, karena ini buat ngetes codenya eh ternyata berjalan lancar",Positive
5,"Barang aman mendarat degan lancar respon y cepat udah jadi langganan di toko ini barang y bagus bagus, 
Datang y juga cepat mantap bos Q",Positive
5,"Barang sesuai pesanan, harganya bagus dan pengirimannya cepat..terima kasih.",Positive
5,"Produk baik sesuai dengan deskripsi.. pengiriman produk sangat cepat,, packing produk sangat aman, harga kompetitif.. recomended seller",Positive
5,"Barang sesuai pesanan, harganya bagus dan pengirimannya cepat..terima kasih.",Positive
5,Barang sudah diterima dan sesuai dengan deskripsi paking rapi terima kasih banyak,Positive
5,Buat proyek diy Murmer karena dpt diskon jadi happy everafter main teknologi.,Positive
5,"Barang sesuai pesanan, harganya bagus dan pengirimannya cepat..terima kasih.",Positive
5,Terimakasih buat sheller nya yang sangat respon dan ramah.semoga usahanya ramai pembeli.aamin,Positive
5,dh sya trima barang nya terimakasih,Positive
5,Mantap dah langganan gak bakal kecewa belanja di sini Admin y respon cepat,Positive
1,Wemosnya gagal produk rusak TDK bisa kepake,Negative
5,Bagus..semoga awet.,Positive
5,pesanan sesuai dgn deskripsi. trmksh..smoga usahanya lancar,Positive
5,"Mantab bosku, gercep",Positive
5,Sudah di coba isi program semua lancar,Positive
5,Mantep.....dah pokonya ....rekomended...,Positive
5,Maaf buat abang kurirnya .jd nunggu lama ..brang cepet smp nya,Positive
5,Brfungsi dg baik,Positive
